"id","firstname","lastname","birthyear","zipcode","gamma.1","gamma.2","gamma.3","gamma.4","posterior","firstname_a","lastname_a","birthyear_a","zipcode_a","firstname_b","lastname_b","birthyear_b","zipcode_b","first_name_distance","last_name_distance","birth_year_distance","posterior_bin"
683,"Jane","Williams",1972,12231,2,2,2,2,0.999606254813491,"Jane","Williams",1972,12231,"Jane","Williams",1972,12231,0,0,0,"(0.9,1]"
684,"Michael","Johnson",1992,17153,0,2,2,2,0.985296268614473,"Michael","Johnson",1992,17153,"pnsxajl","Johnson",1992,17153,5,0,0,"(0.9,1]"
685,"Sarah","Brown",1976,14124,2,2,2,2,0.999606254813491,"Sarah","Brown",1976,14124,"Sarah","Brown",1976,14124,0,0,0,"(0.9,1]"
686,"Jane","Miller",1980,11754,2,2,2,2,0.999606254813491,"Jane","Miller",1980,11754,"Jane","Miller",1980,11754,0,0,0,"(0.9,1]"
687,"Olivia","Brown",1990,12804,2,2,2,2,0.999606254813491,"Olivia","Brown",1990,12804,"Olivia","Brown",1990,12804,0,0,0,"(0.9,1]"
688,"James","Davis",1998,13518,0,2,2,2,0.985296268614473,"James","Davis",1998,13518,"epjva","Davis",1998,13518,5,0,0,"(0.9,1]"
689,"Michael","Johnson",1973,17826,2,2,2,2,0.999606254813491,"Michael","Johnson",1973,17826,"Michael","Johnson",1973,17826,0,0,0,"(0.9,1]"
690,"Sarah","Smith",1995,16316,0,2,2,2,0.985296268614473,"Sarah","Smith",1995,16316,"jcudt","Smith",1995,16316,5,0,0,"(0.9,1]"
691,"Michael","Williams",1979,16199,2,2,2,2,0.999606254813491,"Michael","Williams",1979,16199,"Michael","Williams",1979,16199,0,0,0,"(0.9,1]"
692,"Emma","Martinez",1973,16189,2,2,2,2,0.999606254813491,"Emma","Martinez",1973,16189,"Emma","Martinez",1973,16189,0,0,0,"(0.9,1]"
693,"John","Brown",2000,19595,0,2,2,2,0.985296268614473,"John","Brown",2000,19595,"Joon","Brown",2000,19595,1,0,0,"(0.9,1]"
694,"Jane","Smith",1997,16052,2,2,2,2,0.999606254813491,"Jane","Smith",1997,16052,"Jane","Smith",1997,16052,0,0,0,"(0.9,1]"
695,"David","Miller",1977,10480,2,2,2,2,0.999606254813491,"David","Miller",1977,10480,"David","Miller",1977,10480,0,0,0,"(0.9,1]"
696,"David","Miller",1998,19581,2,2,2,2,0.999606254813491,"David","Miller",1998,19581,"David","Miller",1998,19581,0,0,0,"(0.9,1]"
697,"Emily","Martinez",1988,13252,2,2,0,2,0.953764941384782,"Emily","Martinez",1988,13252,"Emily","Martinez",1989,13252,0,0,1,"(0.9,1]"
698,"William","Martinez",1970,18364,0,2,2,2,0.985296268614473,"William","Martinez",1970,18364,"lijliao","Martinez",1970,18364,3,0,0,"(0.9,1]"
699,"Michael","Jones",1976,13749,2,2,0,2,0.953764941384782,"Michael","Jones",1976,13749,"Michael","Jones",1974,13749,0,0,2,"(0.9,1]"
700,"Olivia","Garcia",1978,17595,2,2,0,2,0.953764941384782,"Olivia","Garcia",1978,17595,"Olivia","Garcia",1979,17595,0,0,1,"(0.9,1]"
701,"William","Rodriguez",1998,18952,2,2,2,2,0.999606254813491,"William","Rodriguez",1998,18952,"William","Rodriguez",1998,18952,0,0,0,"(0.9,1]"
702,"Olivia","Davis",1998,15171,2,2,0,2,0.953764941384782,"Olivia","Davis",1998,15171,"Olivia","Davis",2000,15171,0,0,2,"(0.9,1]"
703,"William","Davis",1998,17978,2,0,2,2,0.9851868388166,"William","Davis",1998,17978,"William","spyus",1998,17978,0,4,0,"(0.9,1]"
704,"Jane","Smith",2000,17845,2,2,2,2,0.999606254813491,"Jane","Smith",2000,17845,"Jane","Smith",2000,17845,0,0,0,"(0.9,1]"
705,"Jane","Jones",1987,15292,2,2,2,2,0.999606254813491,"Jane","Jones",1987,15292,"Jane","Jones",1987,15292,0,0,0,"(0.9,1]"
706,"Jane","Martinez",1992,14041,2,2,2,2,0.999606254813491,"Jane","Martinez",1992,14041,"Jane","Martinez",1992,14041,0,0,0,"(0.9,1]"
707,"Michael","Garcia",1987,15396,2,2,2,2,0.999606254813491,"Michael","Garcia",1987,15396,"Michael","Garcia",1987,15396,0,0,0,"(0.9,1]"
708,"Emma","Smith",1973,13437,2,0,2,2,0.9851868388166,"Emma","Smith",1973,13437,"Emma","Smnth",1973,13437,0,1,0,"(0.9,1]"
709,"James","Johnson",1978,18547,2,0,2,2,0.9851868388166,"James","Johnson",1978,18547,"James","polksbm",1978,18547,0,5,0,"(0.9,1]"
710,"John","Miller",1982,11039,2,2,2,2,0.999606254813491,"John","Miller",1982,11039,"John","Miller",1982,11039,0,0,0,"(0.9,1]"
711,"William","Miller",1982,13045,2,2,2,2,0.999606254813491,"William","Miller",1982,13045,"William","Miller",1982,13045,0,0,0,"(0.9,1]"
712,"Emma","Williams",1994,12462,2,2,2,2,0.999606254813491,"Emma","Williams",1994,12462,"Emma","Williams",1994,12462,0,0,0,"(0.9,1]"
713,"John","Jones",1974,15128,2,2,2,2,0.999606254813491,"John","Jones",1974,15128,"John","Jones",1974,15128,0,0,0,"(0.9,1]"
714,"James","Jones",1991,10250,0,2,2,2,0.985296268614473,"James","Jones",1991,10250,"Jlmjs","Jones",1991,10250,2,0,0,"(0.9,1]"
715,"Michael","Miller",1992,19881,2,2,0,2,0.953764941384782,"Michael","Miller",1992,19881,"Michael","Miller",1991,19881,0,0,1,"(0.9,1]"
716,"James","Rodriguez",1975,14203,2,2,2,2,0.999606254813491,"James","Rodriguez",1975,14203,"James","Rodriguez",1975,14203,0,0,0,"(0.9,1]"
717,"Jane","Brown",1973,11820,2,0,0,2,0.350824129674507,"Jane","Brown",1973,11820,"Jane","Bromo",1972,11820,0,2,1,"(0.3,0.4]"
718,"Emily","Brown",1970,14974,2,2,2,2,0.999606254813491,"Emily","Brown",1970,14974,"Emily","Brown",1970,14974,0,0,0,"(0.9,1]"
719,"Emma","Garcia",1995,16993,2,2,2,2,0.999606254813491,"Emma","Garcia",1995,16993,"Emma","Garcia",1995,16993,0,0,0,"(0.9,1]"
720,"Emily","Davis",1970,14953,2,2,2,2,0.999606254813491,"Emily","Davis",1970,14953,"Emily","Davis",1970,14953,0,0,0,"(0.9,1]"
721,"Jane","Jones",1997,12630,2,2,0,2,0.953764941384782,"Jane","Jones",1997,12630,"Jane","Jones",1999,12630,0,0,2,"(0.9,1]"
722,"Sarah","Garcia",1991,16837,2,2,0,2,0.953764941384782,"Sarah","Garcia",1991,16837,"Sarah","Garcia",1993,16837,0,0,2,"(0.9,1]"
723,"Michael","Rodriguez",1979,10974,2,2,0,2,0.953764941384782,"Michael","Rodriguez",1979,10974,"Michael","Rodriguez",1981,10974,0,0,2,"(0.9,1]"
724,"William","Smith",1985,18722,2,2,2,2,0.999606254813491,"William","Smith",1985,18722,"William","Smith",1985,18722,0,0,0,"(0.9,1]"
725,"Michael","Miller",1989,14348,0,2,2,2,0.985296268614473,"Michael","Miller",1989,14348,"picpael","Miller",1989,14348,2,0,0,"(0.9,1]"
726,"William","Johnson",1992,14925,2,0,2,2,0.9851868388166,"William","Johnson",1992,14925,"William","Jajydln",1992,14925,0,5,0,"(0.9,1]"
728,"William","Williams",1985,14545,2,2,2,2,0.999606254813491,"William","Williams",1985,14545,"William","Williams",1985,14545,0,0,0,"(0.9,1]"
729,"William","Williams",1984,10621,2,0,0,2,0.350824129674507,"William","Williams",1984,10621,"William","Wylliums",1985,10621,0,2,1,"(0.3,0.4]"
730,"Emma","Johnson",1975,18860,2,0,0,2,0.350824129674507,"Emma","Johnson",1975,18860,"Emma","Johnsxn",1976,18860,0,1,1,"(0.3,0.4]"
731,"Emma","Garcia",1977,17220,2,2,0,2,0.953764941384782,"Emma","Garcia",1977,17220,"Emma","Garcia",1975,17220,0,0,2,"(0.9,1]"
732,"John","Miller",2000,11012,2,2,2,2,0.999606254813491,"John","Miller",2000,11012,"John","Miller",2000,11012,0,0,0,"(0.9,1]"
733,"David","Miller",1980,19755,2,2,2,2,0.999606254813491,"David","Miller",1980,19755,"David","Miller",1980,19755,0,0,0,"(0.9,1]"
734,"James","Johnson",1984,10912,2,2,2,2,0.999606254813491,"James","Johnson",1984,10912,"James","Johnson",1984,10912,0,0,0,"(0.9,1]"
735,"John","Jones",1971,14299,0,2,2,2,0.985296268614473,"John","Jones",1971,14299,"nptf","Jones",1971,14299,4,0,0,"(0.9,1]"
736,"Sarah","Miller",1973,18278,2,2,2,2,0.999606254813491,"Sarah","Miller",1973,18278,"Sarah","Miller",1973,18278,0,0,0,"(0.9,1]"
737,"James","Miller",1989,15159,0,2,2,2,0.985296268614473,"James","Miller",1989,15159,"uixsi","Miller",1989,15159,5,0,0,"(0.9,1]"
738,"Olivia","Davis",1997,17300,2,0,2,2,0.9851868388166,"Olivia","Davis",1997,17300,"Olivia","veviy",1997,17300,0,3,0,"(0.9,1]"
739,"Olivia","Smith",1992,17467,2,2,0,2,0.953764941384782,"Olivia","Smith",1992,17467,"Olivia","Smith",1993,17467,0,0,1,"(0.9,1]"
740,"Emma","Williams",1978,18205,2,0,0,2,0.350824129674507,"Emma","Williams",1978,18205,"Emma","ocllgabn",1979,18205,0,5,1,"(0.3,0.4]"
741,"Emma","Williams",1979,12867,0,2,2,2,0.985296268614473,"Emma","Williams",1979,12867,"lokr","Williams",1979,12867,4,0,0,"(0.9,1]"
742,"William","Davis",1995,18830,2,2,2,2,0.999606254813491,"William","Davis",1995,18830,"William","Davis",1995,18830,0,0,0,"(0.9,1]"
743,"William","Davis",1981,19553,2,0,2,2,0.9851868388166,"William","Davis",1981,19553,"William","Dfvle",1981,19553,0,3,0,"(0.9,1]"
744,"John","Miller",1978,15409,2,2,2,2,0.999606254813491,"John","Miller",1978,15409,"John","Miller",1978,15409,0,0,0,"(0.9,1]"
745,"Olivia","Jones",1974,14592,0,2,0,2,0.352540029046541,"Olivia","Jones",1974,14592,"Olzvin","Jones",1976,14592,2,0,2,"(0.3,0.4]"
746,"James","Garcia",1975,12874,0,0,2,2,0.637087109523096,"James","Garcia",1975,12874,"szccw","rbquhg",1975,12874,5,6,0,"(0.6,0.7]"
747,"Emma","Williams",1998,17737,2,2,0,2,0.953764941384782,"Emma","Williams",1998,17737,"Emma","Williams",1996,17737,0,0,2,"(0.9,1]"
748,"Michael","Brown",1976,18211,2,2,0,2,0.953764941384782,"Michael","Brown",1976,18211,"Michael","Brown",1978,18211,0,0,2,"(0.9,1]"
749,"Emma","Johnson",1990,17192,0,2,2,2,0.985296268614473,"Emma","Johnson",1990,17192,"xudr","Johnson",1990,17192,4,0,0,"(0.9,1]"
750,"Sarah","Miller",1982,12415,2,2,2,2,0.999606254813491,"Sarah","Miller",1982,12415,"Sarah","Miller",1982,12415,0,0,0,"(0.9,1]"
751,"John","Smith",2000,18143,0,2,2,2,0.985296268614473,"John","Smith",2000,18143,"qopf","Smith",2000,18143,3,0,0,"(0.9,1]"
752,"Emily","Williams",1981,17147,2,2,2,2,0.999606254813491,"Emily","Williams",1981,17147,"Emily","Williams",1981,17147,0,0,0,"(0.9,1]"
753,"Michael","Martinez",1983,16189,2,2,0,2,0.953764941384782,"Michael","Martinez",1983,16189,"Michael","Martinez",1985,16189,0,0,2,"(0.9,1]"
754,"David","Rodriguez",1994,18198,0,2,2,2,0.985296268614473,"David","Rodriguez",1994,18198,"pmcew","Rodriguez",1994,18198,5,0,0,"(0.9,1]"
756,"Jane","Smith",1983,19106,2,2,0,2,0.953764941384782,"Jane","Smith",1983,19106,"Jane","Smith",1984,19106,0,0,1,"(0.9,1]"
757,"Emma","Garcia",1998,12882,2,0,2,2,0.9851868388166,"Emma","Garcia",1998,12882,"Emma","Garwim",1998,12882,0,2,0,"(0.9,1]"
758,"Emma","Davis",1970,18735,2,2,0,2,0.953764941384782,"Emma","Davis",1970,18735,"Emma","Davis",1971,18735,0,0,1,"(0.9,1]"
759,"Emily","Jones",1985,10264,0,2,2,2,0.985296268614473,"Emily","Jones",1985,10264,"Emhly","Jones",1985,10264,1,0,0,"(0.9,1]"
760,"Emma","Jones",1998,10949,2,2,2,2,0.999606254813491,"Emma","Jones",1998,10949,"Emma","Jones",1998,10949,0,0,0,"(0.9,1]"
761,"Olivia","Davis",1991,18290,0,0,2,2,0.637087109523096,"Olivia","Davis",1991,18290,"xlivia","vavis",1991,18290,1,1,0,"(0.6,0.7]"
762,"Sarah","Johnson",1973,18638,0,2,2,2,0.985296268614473,"Sarah","Johnson",1973,18638,"javsh","Johnson",1973,18638,3,0,0,"(0.9,1]"
763,"Jane","Smith",1997,11429,2,2,2,2,0.999606254813491,"Jane","Smith",1997,11429,"Jane","Smith",1997,11429,0,0,0,"(0.9,1]"
764,"John","Brown",1977,18246,2,2,2,2,0.999606254813491,"John","Brown",1977,18246,"John","Brown",1977,18246,0,0,0,"(0.9,1]"
765,"James","Brown",1973,17620,2,0,2,2,0.9851868388166,"James","Brown",1973,17620,"James","Browi",1973,17620,0,1,0,"(0.9,1]"
766,"Michael","Garcia",1985,16007,0,0,2,2,0.637087109523096,"Michael","Garcia",1985,16007,"dichaew","Gbntpa",1985,16007,2,4,0,"(0.6,0.7]"
767,"David","Garcia",1997,19491,2,2,2,2,0.999606254813491,"David","Garcia",1997,19491,"David","Garcia",1997,19491,0,0,0,"(0.9,1]"
768,"David","Davis",1985,13121,0,2,2,2,0.985296268614473,"David","Davis",1985,13121,"grhbn","Davis",1985,13121,5,0,0,"(0.9,1]"
769,"James","Jones",1986,13563,2,0,2,2,0.9851868388166,"James","Jones",1986,13563,"James","kztvs",1986,13563,0,4,0,"(0.9,1]"
770,"Emily","Brown",1993,10005,2,2,0,2,0.953764941384782,"Emily","Brown",1993,10005,"Emily","Brown",1995,10005,0,0,2,"(0.9,1]"
771,"Olivia","Smith",1989,18467,2,0,2,2,0.9851868388166,"Olivia","Smith",1989,18467,"Olivia","rmich",1989,18467,0,2,0,"(0.9,1]"
772,"Michael","Miller",1981,13417,0,2,2,2,0.985296268614473,"Michael","Miller",1981,13417,"Michbel","Miller",1981,13417,1,0,0,"(0.9,1]"
773,"Michael","Johnson",1998,18295,2,2,2,2,0.999606254813491,"Michael","Johnson",1998,18295,"Michael","Johnson",1998,18295,0,0,0,"(0.9,1]"
774,"Sarah","Miller",1987,11163,2,2,2,2,0.999606254813491,"Sarah","Miller",1987,11163,"Sarah","Miller",1987,11163,0,0,0,"(0.9,1]"
775,"Olivia","Garcia",1980,15552,0,2,2,2,0.985296268614473,"Olivia","Garcia",1980,15552,"oeudih","Garcia",1980,15552,5,0,0,"(0.9,1]"
776,"Emily","Smith",1980,13914,2,2,2,2,0.999606254813491,"Emily","Smith",1980,13914,"Emily","Smith",1980,13914,0,0,0,"(0.9,1]"
777,"William","Johnson",1985,13314,2,0,2,2,0.9851868388166,"William","Johnson",1985,13314,"William","Johnsnn",1985,13314,0,1,0,"(0.9,1]"
778,"James","Jones",1990,17555,2,2,2,2,0.999606254813491,"James","Jones",1990,17555,"James","Jones",1990,17555,0,0,0,"(0.9,1]"
779,"Michael","Miller",1994,18794,2,0,2,2,0.9851868388166,"Michael","Miller",1994,18794,"Michael","Mioler",1994,18794,0,1,0,"(0.9,1]"
780,"Sarah","Smith",1998,16805,2,0,0,2,0.350824129674507,"Sarah","Smith",1998,16805,"Sarah","lnsjr",1997,16805,0,5,1,"(0.3,0.4]"
781,"David","Miller",1990,11912,2,2,2,2,0.999606254813491,"David","Miller",1990,11912,"David","Miller",1990,11912,0,0,0,"(0.9,1]"
782,"James","Smith",1993,12584,2,2,2,2,0.999606254813491,"James","Smith",1993,12584,"James","Smith",1993,12584,0,0,0,"(0.9,1]"
783,"Emily","Brown",2000,12185,2,0,0,2,0.350824129674507,"Emily","Brown",2000,12185,"Emily","Browx",2001,12185,0,1,1,"(0.3,0.4]"
784,"Michael","Williams",1980,17472,0,0,2,2,0.637087109523096,"Michael","Williams",1980,17472,"taieaml","tiylfamu",1980,17472,5,4,0,"(0.6,0.7]"
785,"William","Brown",1992,19493,2,2,2,2,0.999606254813491,"William","Brown",1992,19493,"William","Brown",1992,19493,0,0,0,"(0.9,1]"
786,"Emily","Rodriguez",1986,11695,2,0,2,2,0.9851868388166,"Emily","Rodriguez",1986,11695,"Emily","wcericteu",1986,11695,0,6,0,"(0.9,1]"
787,"David","Miller",1995,15310,2,2,2,2,0.999606254813491,"David","Miller",1995,15310,"David","Miller",1995,15310,0,0,0,"(0.9,1]"
788,"Emma","Smith",1971,18296,2,2,0,2,0.953764941384782,"Emma","Smith",1971,18296,"Emma","Smith",1970,18296,0,0,1,"(0.9,1]"
789,"William","Martinez",1984,12095,2,2,2,2,0.999606254813491,"William","Martinez",1984,12095,"William","Martinez",1984,12095,0,0,0,"(0.9,1]"
790,"Emma","Rodriguez",1971,19357,2,0,2,2,0.9851868388166,"Emma","Rodriguez",1971,19357,"Emma","Rodrmgqaz",1971,19357,0,3,0,"(0.9,1]"
791,"Sarah","Smith",1987,11259,2,2,0,2,0.953764941384782,"Sarah","Smith",1987,11259,"Sarah","Smith",1989,11259,0,0,2,"(0.9,1]"
792,"Emma","Martinez",1974,10745,2,0,2,2,0.9851868388166,"Emma","Martinez",1974,10745,"Emma","Mynjenee",1974,10745,0,5,0,"(0.9,1]"
793,"William","Garcia",1974,11329,2,2,2,2,0.999606254813491,"William","Garcia",1974,11329,"William","Garcia",1974,11329,0,0,0,"(0.9,1]"
794,"John","Rodriguez",1982,13332,2,2,0,2,0.953764941384782,"John","Rodriguez",1982,13332,"John","Rodriguez",1981,13332,0,0,1,"(0.9,1]"
795,"Sarah","Garcia",1992,14403,2,2,2,2,0.999606254813491,"Sarah","Garcia",1992,14403,"Sarah","Garcia",1992,14403,0,0,0,"(0.9,1]"
796,"Olivia","Martinez",1994,19932,0,0,2,2,0.637087109523096,"Olivia","Martinez",1994,19932,"jlihii","Maetbnen",1994,19932,3,3,0,"(0.6,0.7]"
797,"Sarah","Smith",1986,15071,2,2,2,2,0.999606254813491,"Sarah","Smith",1986,15071,"Sarah","Smith",1986,15071,0,0,0,"(0.9,1]"
798,"Olivia","Smith",1993,11292,2,2,0,2,0.953764941384782,"Olivia","Smith",1993,11292,"Olivia","Smith",1995,11292,0,0,2,"(0.9,1]"
799,"Emily","Smith",1990,16680,0,2,2,2,0.985296268614473,"Emily","Smith",1990,16680,"Emely","Smith",1990,16680,1,0,0,"(0.9,1]"
800,"James","Brown",1990,16170,2,2,2,2,0.999606254813491,"James","Brown",1990,16170,"James","Brown",1990,16170,0,0,0,"(0.9,1]"
801,"James","Brown",1999,18755,2,2,2,2,0.999606254813491,"James","Brown",1999,18755,"James","Brown",1999,18755,0,0,0,"(0.9,1]"
802,"Olivia","Miller",1993,18945,0,0,2,2,0.637087109523096,"Olivia","Miller",1993,18945,"Olufjn","Milytr",1993,18945,4,2,0,"(0.6,0.7]"
803,"Emily","Brown",1980,10383,0,2,2,2,0.985296268614473,"Emily","Brown",1980,10383,"Emijy","Brown",1980,10383,1,0,0,"(0.9,1]"
804,"David","Jones",1982,19631,2,0,2,2,0.9851868388166,"David","Jones",1982,19631,"David","vycfy",1982,19631,0,5,0,"(0.9,1]"
805,"James","Johnson",1971,14040,2,0,2,2,0.9851868388166,"James","Johnson",1971,14040,"James","wornssm",1971,14040,0,4,0,"(0.9,1]"
806,"Michael","Brown",1973,14923,2,2,2,2,0.999606254813491,"Michael","Brown",1973,14923,"Michael","Brown",1973,14923,0,0,0,"(0.9,1]"
807,"Michael","Brown",1988,19865,0,0,2,2,0.637087109523096,"Michael","Brown",1988,19865,"Mizhael","wemfd",1988,19865,1,5,0,"(0.6,0.7]"
808,"Jane","Martinez",1971,16797,2,2,0,2,0.953764941384782,"Jane","Martinez",1971,16797,"Jane","Martinez",1970,16797,0,0,1,"(0.9,1]"
809,"William","Garcia",1974,18698,2,2,0,2,0.953764941384782,"William","Garcia",1974,18698,"William","Garcia",1976,18698,0,0,2,"(0.9,1]"
811,"Michael","Brown",1994,18676,2,0,2,2,0.9851868388166,"Michael","Brown",1994,18676,"Michael","Bacfn",1994,18676,0,3,0,"(0.9,1]"
812,"William","Johnson",1977,19435,2,2,0,2,0.953764941384782,"William","Johnson",1977,19435,"William","Johnson",1979,19435,0,0,2,"(0.9,1]"
813,"Jane","Rodriguez",1973,16962,2,2,2,2,0.999606254813491,"Jane","Rodriguez",1973,16962,"Jane","Rodriguez",1973,16962,0,0,0,"(0.9,1]"
814,"James","Davis",1980,16525,2,2,2,2,0.999606254813491,"James","Davis",1980,16525,"James","Davis",1980,16525,0,0,0,"(0.9,1]"
815,"David","Rodriguez",1982,12836,2,0,2,2,0.9851868388166,"David","Rodriguez",1982,12836,"David","oydnigiez",1982,12836,0,4,0,"(0.9,1]"
816,"John","Miller",1995,15690,2,2,0,2,0.953764941384782,"John","Miller",1995,15690,"John","Miller",1997,15690,0,0,2,"(0.9,1]"
817,"Olivia","Davis",1997,16874,0,2,2,2,0.985296268614473,"Olivia","Davis",1997,16874,"Okmvia","Davis",1997,16874,2,0,0,"(0.9,1]"
818,"James","Jones",1982,16215,2,2,2,2,0.999606254813491,"James","Jones",1982,16215,"James","Jones",1982,16215,0,0,0,"(0.9,1]"
819,"James","Jones",1995,11087,2,2,2,2,0.999606254813491,"James","Jones",1995,11087,"James","Jones",1995,11087,0,0,0,"(0.9,1]"
821,"Jane","Rodriguez",1989,13735,0,2,2,2,0.985296268614473,"Jane","Rodriguez",1989,13735,"vapo","Rodriguez",1989,13735,3,0,0,"(0.9,1]"
822,"Emma","Martinez",1980,16340,2,2,2,2,0.999606254813491,"Emma","Martinez",1980,16340,"Emma","Martinez",1980,16340,0,0,0,"(0.9,1]"
823,"William","Williams",1979,11634,2,2,2,2,0.999606254813491,"William","Williams",1979,11634,"William","Williams",1979,11634,0,0,0,"(0.9,1]"
824,"Sarah","Smith",1982,13502,2,2,2,2,0.999606254813491,"Sarah","Smith",1982,13502,"Sarah","Smith",1982,13502,0,0,0,"(0.9,1]"
825,"William","Smith",1987,11122,2,2,2,2,0.999606254813491,"William","Smith",1987,11122,"William","Smith",1987,11122,0,0,0,"(0.9,1]"
826,"Olivia","Johnson",1986,19686,0,2,0,2,0.352540029046541,"Olivia","Johnson",1986,19686,"Ozcxxf","Johnson",1984,19686,5,0,2,"(0.3,0.4]"
827,"Jane","Williams",1974,14761,0,2,2,2,0.985296268614473,"Jane","Williams",1974,14761,"uajh","Williams",1974,14761,3,0,0,"(0.9,1]"
828,"Jane","Davis",1980,10858,2,2,2,2,0.999606254813491,"Jane","Davis",1980,10858,"Jane","Davis",1980,10858,0,0,0,"(0.9,1]"
829,"David","Rodriguez",1991,19308,2,2,2,2,0.999606254813491,"David","Rodriguez",1991,19308,"David","Rodriguez",1991,19308,0,0,0,"(0.9,1]"
830,"William","Johnson",1995,12455,2,0,2,2,0.9851868388166,"William","Johnson",1995,12455,"William","Jthnsmv",1995,12455,0,3,0,"(0.9,1]"
831,"Olivia","Williams",1981,11699,0,2,0,2,0.352540029046541,"Olivia","Williams",1981,11699,"eqzhil","Williams",1983,11699,5,0,2,"(0.3,0.4]"
832,"James","Miller",1986,14681,2,0,2,2,0.9851868388166,"James","Miller",1986,14681,"James","yjllvz",1986,14681,0,4,0,"(0.9,1]"
833,"William","Smith",1999,16791,2,2,2,2,0.999606254813491,"William","Smith",1999,16791,"William","Smith",1999,16791,0,0,0,"(0.9,1]"
834,"Sarah","Davis",1986,10194,2,2,2,2,0.999606254813491,"Sarah","Davis",1986,10194,"Sarah","Davis",1986,10194,0,0,0,"(0.9,1]"
835,"Emily","Brown",1976,13190,2,2,2,2,0.999606254813491,"Emily","Brown",1976,13190,"Emily","Brown",1976,13190,0,0,0,"(0.9,1]"
836,"Michael","Johnson",1986,19456,0,2,2,2,0.985296268614473,"Michael","Johnson",1986,19456,"ohzhsor","Johnson",1986,19456,6,0,0,"(0.9,1]"
837,"Michael","Smith",1984,11720,2,0,2,2,0.9851868388166,"Michael","Smith",1984,11720,"Michael","sfxth",1984,11720,0,3,0,"(0.9,1]"
838,"Olivia","Jones",1971,15317,2,2,2,2,0.999606254813491,"Olivia","Jones",1971,15317,"Olivia","Jones",1971,15317,0,0,0,"(0.9,1]"
839,"Jane","Rodriguez",1992,11458,2,2,0,2,0.953764941384782,"Jane","Rodriguez",1992,11458,"Jane","Rodriguez",1990,11458,0,0,2,"(0.9,1]"
840,"Michael","Johnson",1971,16485,2,0,2,2,0.9851868388166,"Michael","Johnson",1971,16485,"Michael","xsqdwob",1971,16485,0,6,0,"(0.9,1]"
841,"John","Miller",1987,16769,2,2,2,2,0.999606254813491,"John","Miller",1987,16769,"John","Miller",1987,16769,0,0,0,"(0.9,1]"
842,"John","Rodriguez",1986,11170,2,2,2,2,0.999606254813491,"John","Rodriguez",1986,11170,"John","Rodriguez",1986,11170,0,0,0,"(0.9,1]"
843,"John","Davis",1982,13034,2,2,2,2,0.999606254813491,"John","Davis",1982,13034,"John","Davis",1982,13034,0,0,0,"(0.9,1]"
844,"Emily","Davis",1987,16785,2,2,2,2,0.999606254813491,"Emily","Davis",1987,16785,"Emily","Davis",1987,16785,0,0,0,"(0.9,1]"
845,"Michael","Johnson",1974,19039,2,2,2,2,0.999606254813491,"Michael","Johnson",1974,19039,"Michael","Johnson",1974,19039,0,0,0,"(0.9,1]"
846,"Jane","Garcia",1999,19138,2,2,2,2,0.999606254813491,"Jane","Garcia",1999,19138,"Jane","Garcia",1999,19138,0,0,0,"(0.9,1]"
847,"William","Miller",1998,13983,2,2,2,2,0.999606254813491,"William","Miller",1998,13983,"William","Miller",1998,13983,0,0,0,"(0.9,1]"
848,"Jane","Johnson",1992,18000,2,0,2,2,0.9851868388166,"Jane","Johnson",1992,18000,"Jane","vonaboj",1992,18000,0,5,0,"(0.9,1]"
849,"Jane","Davis",1998,14158,2,2,2,2,0.999606254813491,"Jane","Davis",1998,14158,"Jane","Davis",1998,14158,0,0,0,"(0.9,1]"
850,"William","Rodriguez",1997,19445,2,2,0,2,0.953764941384782,"William","Rodriguez",1997,19445,"William","Rodriguez",1995,19445,0,0,2,"(0.9,1]"
851,"Olivia","Johnson",1983,18327,2,2,2,2,0.999606254813491,"Olivia","Johnson",1983,18327,"Olivia","Johnson",1983,18327,0,0,0,"(0.9,1]"
852,"Emily","Rodriguez",1999,10424,2,2,2,2,0.999606254813491,"Emily","Rodriguez",1999,10424,"Emily","Rodriguez",1999,10424,0,0,0,"(0.9,1]"
853,"Emily","Martinez",1988,10280,2,0,0,2,0.350824129674507,"Emily","Martinez",1988,10280,"Emily","Martilez",1987,10280,0,1,1,"(0.3,0.4]"
854,"Emma","Martinez",1994,10538,2,2,2,2,0.999606254813491,"Emma","Martinez",1994,10538,"Emma","Martinez",1994,10538,0,0,0,"(0.9,1]"
855,"James","Brown",1986,19296,2,2,2,2,0.999606254813491,"James","Brown",1986,19296,"James","Brown",1986,19296,0,0,0,"(0.9,1]"
856,"Michael","Jones",1992,14878,2,0,2,2,0.9851868388166,"Michael","Jones",1992,14878,"Michael","Jobes",1992,14878,0,1,0,"(0.9,1]"
857,"James","Martinez",1997,17534,2,2,2,2,0.999606254813491,"James","Martinez",1997,17534,"James","Martinez",1997,17534,0,0,0,"(0.9,1]"
858,"Michael","Rodriguez",1999,16179,0,2,2,2,0.985296268614473,"Michael","Rodriguez",1999,16179,"Miwhhel","Rodriguez",1999,16179,2,0,0,"(0.9,1]"
859,"Sarah","Johnson",1987,14315,2,2,2,2,0.999606254813491,"Sarah","Johnson",1987,14315,"Sarah","Johnson",1987,14315,0,0,0,"(0.9,1]"
860,"David","Johnson",1997,15333,2,2,2,2,0.999606254813491,"David","Johnson",1997,15333,"David","Johnson",1997,15333,0,0,0,"(0.9,1]"
